,symbol,contract_type,strike,bid,midpoint,ask,obs_date,exp_date,stock_price,intr,uncert
0,SPY,call,409.0,8.49,8.5,8.51,2023-03-31,2023-04-28,409.39,0.38999999999998636,-8.110000000000014
2,SPY,call,408.0,9.12,9.13,9.14,2023-03-31,2023-04-28,409.39,1.3899999999999864,-7.740000000000014
4,SPY,call,407.5,9.44,9.46,9.47,2023-03-31,2023-04-28,409.39,1.8899999999999864,-7.5700000000000145
6,SPY,call,407.0,9.77,9.78,9.79,2023-03-31,2023-04-28,409.39,2.3899999999999864,-7.390000000000013
8,SPY,call,406.0,10.44,10.46,10.47,2023-03-31,2023-04-28,409.39,3.3899999999999864,-7.0700000000000145
10,SPY,call,405.0,11.13,11.14,11.15,2023-03-31,2023-04-28,409.39,4.389999999999986,-6.750000000000014
12,SPY,call,404.0,11.83,11.84,11.86,2023-03-31,2023-04-28,409.39,5.389999999999986,-6.4500000000000135
14,SPY,call,403.0,12.42,12.54,12.67,2023-03-31,2023-04-28,409.39,6.389999999999986,-6.150000000000013
16,SPY,call,402.5,12.8,12.93,13.06,2023-03-31,2023-04-28,409.39,6.889999999999986,-6.040000000000013
18,SPY,call,402.0,13.15,13.29,13.43,2023-03-31,2023-04-28,409.39,7.389999999999986,-5.900000000000013
20,SPY,call,401.0,13.9,14.04,14.18,2023-03-31,2023-04-28,409.39,8.389999999999986,-5.650000000000013
22,SPY,call,400.0,14.66,14.8,14.95,2023-03-31,2023-04-28,409.39,9.389999999999986,-5.410000000000014
24,SPY,call,399.0,15.43,15.58,15.72,2023-03-31,2023-04-28,409.39,10.389999999999986,-5.190000000000014
26,SPY,call,398.0,16.22,16.36,16.51,2023-03-31,2023-04-28,409.39,11.389999999999986,-4.970000000000013
28,SPY,call,397.5,16.62,16.76,16.91,2023-03-31,2023-04-28,409.39,11.889999999999986,-4.870000000000015
30,SPY,call,397.0,17.02,17.16,17.31,2023-03-31,2023-04-28,409.39,12.389999999999986,-4.770000000000014
32,SPY,call,396.0,17.83,17.98,18.12,2023-03-31,2023-04-28,409.39,13.389999999999986,-4.590000000000014
34,SPY,call,395.0,18.64,18.8,18.95,2023-03-31,2023-04-28,409.39,14.389999999999986,-4.410000000000014
36,SPY,call,394.0,19.47,19.62,19.78,2023-03-31,2023-04-28,409.39,15.389999999999986,-4.230000000000015
38,SPY,call,393.0,20.31,20.46,20.62,2023-03-31,2023-04-28,409.39,16.389999999999986,-4.0700000000000145
40,SPY,call,392.5,20.73,20.9,21.07,2023-03-31,2023-04-28,409.39,16.889999999999986,-4.010000000000012
42,SPY,call,392.0,21.16,21.33,21.5,2023-03-31,2023-04-28,409.39,17.389999999999986,-3.940000000000012
44,SPY,call,391.0,22.01,22.18,22.35,2023-03-31,2023-04-28,409.39,18.389999999999986,-3.7900000000000134
46,SPY,call,390.0,22.87,23.04,23.22,2023-03-31,2023-04-28,409.39,19.389999999999986,-3.650000000000013
48,SPY,call,389.0,23.75,23.92,24.09,2023-03-31,2023-04-28,409.39,20.389999999999986,-3.5300000000000153
50,SPY,call,388.0,24.62,24.8,24.97,2023-03-31,2023-04-28,409.39,21.389999999999986,-3.4100000000000144
52,SPY,call,387.5,25.07,25.24,25.42,2023-03-31,2023-04-28,409.39,21.889999999999986,-3.350000000000012
54,SPY,call,387.0,25.51,25.68,25.86,2023-03-31,2023-04-28,409.39,22.389999999999986,-3.2900000000000134
56,SPY,call,386.0,26.4,26.58,26.75,2023-03-31,2023-04-28,409.39,23.389999999999986,-3.190000000000012
58,SPY,call,385.0,27.3,27.48,27.65,2023-03-31,2023-04-28,409.39,24.389999999999986,-3.090000000000014
60,SPY,call,384.0,28.2,28.38,28.56,2023-03-31,2023-04-28,409.39,25.389999999999986,-2.9900000000000126
62,SPY,call,383.0,29.11,29.29,29.47,2023-03-31,2023-04-28,409.39,26.389999999999986,-2.900000000000013
64,SPY,call,382.0,30.03,30.2,30.38,2023-03-31,2023-04-28,409.39,27.389999999999986,-2.810000000000013
66,SPY,call,381.0,30.94,31.12,31.3,2023-03-31,2023-04-28,409.39,28.389999999999986,-2.7300000000000146
68,SPY,call,380.0,31.87,32.05,32.23,2023-03-31,2023-04-28,409.39,29.389999999999986,-2.660000000000011
70,SPY,call,379.0,32.8,32.98,33.15,2023-03-31,2023-04-28,409.39,30.389999999999986,-2.5900000000000105
72,SPY,call,378.0,33.73,33.91,34.09,2023-03-31,2023-04-28,409.39,31.389999999999986,-2.5200000000000102
74,SPY,call,377.0,34.67,34.84,35.02,2023-03-31,2023-04-28,409.39,32.389999999999986,-2.450000000000017
76,SPY,call,376.0,35.61,35.78,35.96,2023-03-31,2023-04-28,409.39,33.389999999999986,-2.390000000000015
78,SPY,call,375.0,36.55,36.73,36.91,2023-03-31,2023-04-28,409.39,34.389999999999986,-2.3400000000000105
80,SPY,call,374.0,37.5,37.68,37.85,2023-03-31,2023-04-28,409.39,35.389999999999986,-2.2900000000000134
82,SPY,call,373.0,38.45,38.62,38.8,2023-03-31,2023-04-28,409.39,36.389999999999986,-2.230000000000011
84,SPY,call,372.0,39.4,39.58,39.76,2023-03-31,2023-04-28,409.39,37.389999999999986,-2.190000000000012
86,SPY,call,370.0,41.32,41.5,41.67,2023-03-31,2023-04-28,409.39,39.389999999999986,-2.1100000000000136
88,SPY,call,368.0,43.24,43.42,43.6,2023-03-31,2023-04-28,409.39,41.389999999999986,-2.0300000000000153
90,SPY,call,366.0,45.17,45.35,45.53,2023-03-31,2023-04-28,409.39,43.389999999999986,-1.960000000000015
92,SPY,call,365.0,46.14,46.32,46.5,2023-03-31,2023-04-28,409.39,44.389999999999986,-1.930000000000014
94,SPY,call,364.0,47.11,47.29,47.47,2023-03-31,2023-04-28,409.39,45.389999999999986,-1.9000000000000128
96,SPY,call,362.0,49.06,49.24,49.41,2023-03-31,2023-04-28,409.39,47.389999999999986,-1.8500000000000156
98,SPY,call,360.0,51.01,51.18,51.36,2023-03-31,2023-04-28,409.39,49.389999999999986,-1.7900000000000134
100,SPY,call,358.0,52.97,53.14,53.32,2023-03-31,2023-04-28,409.39,51.389999999999986,-1.7500000000000142
102,SPY,call,356.0,54.93,55.1,55.28,2023-03-31,2023-04-28,409.39,53.389999999999986,-1.710000000000015
103,SPY,call,355.0,55.92,56.09,56.26,2023-03-31,2023-04-28,409.39,54.389999999999986,-1.700000000000017
105,SPY,call,354.0,56.9,57.07,57.24,2023-03-31,2023-04-28,409.39,55.389999999999986,-1.680000000000014
106,SPY,call,352.0,58.87,59.04,59.21,2023-03-31,2023-04-28,409.39,57.389999999999986,-1.6500000000000128
107,SPY,call,350.0,60.84,61.01,61.18,2023-03-31,2023-04-28,409.39,59.389999999999986,-1.6200000000000117
109,SPY,call,345.0,65.78,65.94,66.11,2023-03-31,2023-04-28,409.39,64.38999999999999,-1.5500000000000114
111,SPY,call,340.0,70.72,70.89,71.06,2023-03-31,2023-04-28,409.39,69.38999999999999,-1.5000000000000142
113,SPY,call,335.0,75.68,75.84,76.01,2023-03-31,2023-04-28,409.39,74.38999999999999,-1.450000000000017
115,SPY,call,330.0,80.64,80.8,80.96,2023-03-31,2023-04-28,409.39,79.38999999999999,-1.4100000000000108
117,SPY,call,325.0,85.6,85.76,85.92,2023-03-31,2023-04-28,409.39,84.38999999999999,-1.3700000000000188
119,SPY,call,320.0,90.57,90.73,90.89,2023-03-31,2023-04-28,409.39,89.38999999999999,-1.3400000000000176
121,SPY,call,315.0,95.53,95.69,95.85,2023-03-31,2023-04-28,409.39,94.38999999999999,-1.3000000000000114
123,SPY,call,310.0,100.5,100.66,100.82,2023-03-31,2023-04-28,409.39,99.38999999999999,-1.2700000000000102
125,SPY,call,305.0,105.48,105.64,105.79,2023-03-31,2023-04-28,409.39,104.38999999999999,-1.2500000000000142
127,SPY,call,300.0,110.45,110.6,110.76,2023-03-31,2023-04-28,409.39,109.38999999999999,-1.210000000000008
129,SPY,call,295.0,115.42,115.58,115.74,2023-03-31,2023-04-28,409.39,114.38999999999999,-1.190000000000012
131,SPY,call,290.0,120.4,120.56,120.71,2023-03-31,2023-04-28,409.39,119.38999999999999,-1.170000000000016
133,SPY,call,285.0,125.38,125.54,125.69,2023-03-31,2023-04-28,409.39,124.38999999999999,-1.15000000000002
135,SPY,call,280.0,130.35,130.5,130.66,2023-03-31,2023-04-28,409.39,129.39,-1.1100000000000136
137,SPY,call,275.0,135.33,135.48,135.64,2023-03-31,2023-04-28,409.39,134.39,-1.0900000000000034
139,SPY,call,270.0,140.31,140.46,140.61,2023-03-31,2023-04-28,409.39,139.39,-1.0700000000000216
141,SPY,call,265.0,145.28,145.44,145.59,2023-03-31,2023-04-28,409.39,144.39,-1.0500000000000114
